strata,income,books,sportDays
M_area1,27985.0,10.0,98.0
M_area1,7398.0,21.0,28.0
M_area1,44608.0,20.0,121.0
M_area1,13107.0,9.0,0.0
M_area1,30573.0,25.0,0.0
M_area1,17547.0,16.0,100.0
M_area1,25941.0,6.0,0.0
M_area1,25256.0,15.0,0.0
M_area1,39031.0,6.0,0.0
M_area1,27757.0,2.0,0.0
M_area1,46479.0,0.0,119.0
M_area1,43727.0,13.0,8.0
M_area1,33632.0,14.0,0.0
M_area1,14009.0,24.0,0.0
M_area1,22542.0,5.0,0.0
M_area1,42026.0,21.0,101.0
M_area1,5165.0,4.0,0.0
M_area1,7173.0,16.0,0.0
M_area1,29587.0,2.0,72.0
M_area1,10313.0,12.0,0.0
M_area1,28186.0,9.0,0.0
M_area1,41597.0,3.0,0.0
M_area1,27147.0,8.0,0.0
M_area1,18227.0,12.0,0.0
M_area1,31456.0,20.0,49.0
M_area1,5475.0,2.0,0.0
M_area1,47409.0,9.0,39.0
M_area1,32433.0,7.0,57.0
M_area1,34892.0,7.0,17.0
M_area1,36750.0,10.0,0.0
M_area1,5322.0,18.0,23.0
M_area1,41900.0,17.0,10.0
M_area1,49141.0,23.0,6.0
M_area1,13980.0,16.0,117.0
M_area1,7576.0,5.0,0.0
M_area1,45790.0,11.0,0.0
M_area1,48957.0,1.0,0.0
M_area1,8438.0,19.0,0.0
M_area1,19890.0,25.0,16.0
M_area1,18444.0,19.0,74.0
M_area1,41374.0,23.0,0.0
M_area1,25305.0,5.0,0.0
M_area1,43043.0,14.0,0.0
M_area1,22220.0,3.0,0.0
M_area1,37205.0,2.0,131.0
M_area1,33680.0,8.0,71.0
M_area1,44872.0,20.0,26.0
M_area1,15310.0,4.0,53.0
M_area1,14154.0,5.0,7.0
M_area1,23193.0,9.0,0.0
M_area1,10874.0,3.0,0.0
M_area1,21490.0,8.0,102.0
M_area1,16706.0,9.0,0.0
M_area1,38366.0,7.0,0.0
M_area1,34149.0,20.0,0.0
M_area1,25474.0,20.0,98.0
M_area1,40960.0,13.0,126.0
M_area1,21115.0,19.0,18.0
M_area1,35732.0,0.0,123.0
M_area1,18992.0,22.0,95.0
M_area1,13029.0,25.0,92.0
M_area1,47649.0,3.0,0.0
M_area1,43950.0,3.0,0.0
M_area1,49528.0,19.0,0.0
M_area1,19281.0,23.0,0.0
M_area1,24859.0,8.0,0.0
M_area1,11171.0,2.0,0.0
M_area1,15818.0,3.0,0.0
M_area1,45578.0,20.0,0.0
M_area1,9702.0,11.0,0.0
M_area1,10443.0,15.0,64.0
M_area1,38943.0,3.0,74.0
M_area1,32261.0,21.0,51.0
M_area1,6009.0,13.0,30.0
M_area1,45089.0,24.0,0.0
M_area1,10558.0,15.0,0.0
M_area1,39210.0,17.0,0.0
M_area1,34150.0,15.0,0.0
M_area1,49459.0,18.0,0.0
M_area1,13105.0,15.0,0.0
M_area1,45704.0,3.0,44.0
M_area1,10977.0,5.0,0.0
M_area1,12313.0,8.0,0.0
M_area1,38490.0,3.0,11.0
M_area1,26163.0,20.0,0.0
M_area1,41617.0,9.0,17.0
M_area1,33725.0,21.0,48.0
M_area1,48291.0,21.0,0.0
M_area1,16775.0,21.0,0.0
M_area1,29244.0,4.0,0.0
M_area1,16887.0,8.0,0.0
M_area1,17061.0,14.0,76.0
M_area1,13234.0,18.0,54.0
M_area1,36216.0,17.0,72.0
M_area1,41224.0,23.0,0.0
M_area1,21416.0,3.0,58.0
M_area1,31198.0,3.0,0.0
M_area1,23582.0,2.0,0.0
M_area1,16482.0,10.0,0.0
M_area1,40898.0,18.0,0.0
M_area1,35352.0,16.0,11.0
M_area1,22914.0,3.0,75.0
M_area1,15156.0,20.0,133.0
M_area1,6750.0,10.0,95.0
M_area1,5169.0,17.0,10.0
M_area1,32323.0,20.0,38.0
M_area1,46059.0,6.0,59.0
M_area1,10727.0,19.0,24.0
M_area1,21798.0,11.0,2.0
M_area1,29460.0,17.0,105.0
M_area1,40639.0,8.0,102.0
M_area1,27313.0,12.0,23.0
M_area1,44666.0,7.0,30.0
M_area1,39345.0,9.0,5.0
M_area1,15001.0,19.0,2.0
M_area1,19215.0,1.0,31.0
M_area1,11444.0,24.0,116.0
M_area1,47146.0,5.0,36.0
M_area1,46023.0,21.0,44.0
M_area1,39226.0,21.0,90.0
M_area1,45669.0,15.0,51.0
M_area1,47085.0,11.0,9.0
M_area1,43817.0,8.0,95.0
M_area1,42399.0,16.0,7.0
F_area1,25100.0,13.0,7.0
F_area1,9303.0,24.0,47.0
F_area1,13956.0,15.0,22.0
F_area1,5985.0,6.0,15.0
F_area1,30930.0,20.0,76.0
F_area1,15073.0,23.0,86.0
F_area1,45533.0,17.0,68.0
F_area1,49660.0,11.0,47.0
F_area1,27064.0,5.0,132.0
F_area1,24541.0,25.0,61.0
